"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U74120UP2013PTC059614","17-09-2013","PERRENNIAL NEWS NETWORK PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","H. NO. G-1, MUSKAN APARTMENT, SHAHEED NAGAR, SHAMSABAD ROAD AGRA Uttar Pradesh INDIA 282005","Indian Non-Government Company"
"U74120UP2013PTC059618","17-09-2013","AGRAWAL PROJECT CONSULTANTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","F-10, I FLOOR, KAILASH TOWER SANJAY PLACE AGRA Uttar Pradesh INDIA 282002","Indian Non-Government Company"
"U74120UP2013PTC059620","17-09-2013","RESEARCH BIOTECH PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","B-1/259, SECTOR-G, JANKI PURAM LUCKNOW Uttar Pradesh INDIA 226021","Indian Non-Government Company"
"U74120UP2013PTC059623","18-09-2013","SHEESH EXIM PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","TOWER WALI GALI NO. B-11,ZAHID NAGAR KARULA 9 MORADABAD Uttar Pradesh INDIA 244001","Indian Non-Government Company"
"U74120UP2013PTC059624","18-09-2013","V S R D MARKETING PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","PLOT NO. 67 TAGORE TOWN SHIVPUR VARANASI Uttar Pradesh INDIA 221002","Indian Non-Government Company"
"U74120UP2013PTC059625","18-09-2013","KOR WEALTH BUSINESS CONSULTANTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","303, Tower A1 Ansal Corporate Park, Sector 142, Noida Uttar Pradesh INDIA 201301","Indian Non-Government Company"
"U74120UP2013PTC059628","18-09-2013","ALKED HEALTH BIOTECH PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","HOUSE NO. 6 PATHRA BAZAR, BANSI SIDDHARTH NAGAR Uttar Pradesh INDIA 272153","Indian Non-Government Company"
"U74120UP2013PTC059629","18-09-2013","WEBFOLIO DEPLOYMENT TECHNOLOGIES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","M - 238, SEC - 23 SANJAY NAGAR GHAZIABAD Uttar Pradesh INDIA 201002","Indian Non-Government Company"
"U74120UP2013PTC059637","18-09-2013","SHRIKARANSINGH TRADING CO.PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","5/308 CHUHARPUR ALIGRAH Uttar Pradesh INDIA 202001","Indian Non-Government Company"
"U74120UP2013PTC059649","19-09-2013","YOUTHNPROFESSION SERVICES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","23/446-B, II FLOOR, 7 MANNU CHAMBER OPP. EASY DAY, SANJAY PLACE AGRA Uttar Pradesh INDIA 282002","Indian Non-Government Company"
"U74120UP2013PTC059658","19-09-2013","NAUKRIWORLDS BUSINESS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","SHOP NO. 3, SECOND FLOOR, BASOYA COMPLEX NAYA BANS, SECTOR-15, NOIDA NOIDA Uttar Pradesh INDIA 201301","Indian Non-Government Company"
"U74120UP2013PTC059663","20-09-2013","THREE ACES MARKETING PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Uttar Pradesh","RoC-Kanpur","Business Services","C-9, LIBERTY COLONY, SARVODAYA NAGAR LUCKNOW Uttar Pradesh INDIA 226016","Indian Non-Government Company"
