"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U24111UR1984PLC006568","28-05-1984","UPCAP INDIA LIMITED","ACTIVE","Public","Company Limited by Shares","15,000,000.00","10,305,620.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","H.NO. 275 GANGA NAGAR SOMESHWAR MANDIR ROAD RISHIKESH Uttarakhand INDIA 249201","Indian Non-Government Company"
"U24111UR1984PLC006782","11-10-1984","BHIMTAL MATCH INDUSTRIES LIMITED","STRIKE OFF","Public","Company Limited by Shares","1,500,000.00","1,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","KUAN TAL POST-MALLI TAL BHIMTAL Uttarakhand INDIA","Indian Non-Government Company"
"U24111UR1984PTC006398","19-01-1984","M DEAN CHEMICALS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","136,600.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","12GANDHI ROAD DEHARADUN UTTARANCHAL Uttarakhand INDIA 248001","Indian Non-Government Company"
"U24111UR1984PTC006797","19-10-1984","ADITYA BAROX PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","2,250,000.00","2,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","SITARGANJ NAINITAL NAINITAL Uttarakhand INDIA","Indian Non-Government Company"
"U24111UR1985PTC006935","2-01-1985","MOKHEJA RUBBERS PRIVATE LIMITED","UNDER LIQUIDATION","Private","Company Limited by Shares","1,000,000.00","4,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","MORADABAD ROAD KASHIPUR UDHAM SINGH NAGAR Uttarakhand INDIA","Indian Non-Government Company"
"U24111UR1986PLC008005","2-07-1986","YOGI PHARMACY LIMITED","UNDER LIQUIDATION","Public","Company Limited by Shares","200,000,000.00","153,175,200.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","D-29-30INDUSTRIAL AREA HARIDWAR UTTRANCHAL Uttarakhand INDIA 249401","Indian Non-Government Company"
"U24111UR1986PTC008420","16-12-1986","VIKRANT ALUMS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","1,500,000.00","970,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","PINK HOUSE ARYA NAGARJWALAPUR HARDWAR UTTRANCHAL Uttarakhand INDIA 249407","Indian Non-Government Company"
"U24111UR1988PTC009576","26-04-1988","BEE AAR EM CHEMICALS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","2,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","32, INDRA COLONYKASHIPUR NAINITAL UTTRANCHAL Uttarakhand INDIA","Indian Non-Government Company"
"U24111UR1992PTC014668","26-08-1992","PARVATIYA FILMS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00",NA,"Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","173ACANAUGHT PLACE DEHRADUN UTTAR PRADESH Uttarakhand INDIA","Indian Non-Government Company"
"U24111UR1993PTC014998","7-01-1993","AGARWAL GASES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","760,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","CHANDRESHWARROAD RISHIKESH DEHRADUN UTTARANCHAL Uttarakhand INDIA 249201","Indian Non-Government Company"
"U24111UR1995PTC019156","12-12-1995","CORBETT SOAP STONE MILLS PVT.LTD.","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","3,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","YADAV BHAWAN,MALLA GORAKHPURHALDWNI NAINITAL UTTAR PRADESH Uttarakhand INDIA 263139","Indian Non-Government Company"
"U24111UR1999PTC024726","2-09-1999","THUNDER INDIA CHEMICALS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","2,500,000.00","2,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","MUDIA KALA BAZPURUDHAM SINGH NAGAR UDHAM SINGH NAGAR UTTARANCHAL Uttarakhand INDIA","Indian Non-Government Company"
"U24112UR1969PTC003264","2-07-1969","SHIVALIK TRADING AGENCY PRIVATE LIMITED","UNDER LIQUIDATION","Private","Company Limited by Shares","500,000.00","200,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","2206D.L.ROAD DEHRADUN UTTRANCHAL Uttarakhand INDIA","Indian Non-Government Company"
"U24112UR1969PTC003266","31-07-1969","UTTAR PRADESH VAN UDYOG PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","500,000.00","401,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","BISHT BHAVANNEAR CALTEX KATHGODAM NAINITAL UTTARANCHAL Uttarakhand INDIA 263126","Indian Non-Government Company"
"U24112UR1989PLC010964","19-07-1989","THE SIDHA METALS LIMITED","ACTIVE","Public","Company Limited by Shares","5,000,000.00","2,555,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","E 52 53 INDUSTRIAL ARIABAHADRABAD HARIDWAR UTTRANCHAL Uttarakhand INDIA 249402","Indian Non-Government Company"
"U24114UR1985PTC007229","11-06-1985","DAHRADUN CHEMICALS AND MINERALS PVT LTD","STRIKE OFF","Private","Company Limited by Shares","300,000.00","40,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","12.D.RACE COURSE DEHRADUN DEHRADUN DEHRADUN Uttarakhand INDIA","Indian Non-Government Company"
"U24115UR2001PTC025944","21-03-2001","UTTARANCHAL TERPENE PRODUCTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","2,000,000.00","1,980,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","INTERNATIONAL GUEST HOUSERAMPUR ROAD HALDWANI NAINITAL UTTRANCHAL Uttarakhand INDIA","Indian Non-Government Company"
"U24116UR1978PTC004643","20-07-1978","GARJIA CHEMICALS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","2,500,000.00","800,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","MOHAN,P.O.RAM NAGARDISTT.NAINITAL-244715 (U.P.) Uttarakhand INDIA","Indian Non-Government Company"
"U24116UR1994PTC017261","8-12-1994","VEENUS MINERALS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","50,000.00","Uttarakhand","RoC-Uttarakhand","Manufacturing (Metals & Chemicals, and products thereof)","39 RAJENDER NAGARSTREET NO 5 DEHRADUN UTTARANCHAL Uttarakhand INDIA 248001","Indian Non-Government Company"
